,bars_count,beats_count,bpm,href,id,id,instrumentalness,liveness,name,sections_count,segments_count,song_length_seconds,speechiness,tatums_count,time_signature,track_number,release_date,album_name,song_name,acousticness,danceability,energy,loudness,key,mode,tempo,valence,year,month,day,album_number
0,180,710,0.03336717046394466,https://api.spotify.com/v1/tracks/0FgNSsaSZTvbLXUumSO8LQ,0FgNSsaSZTvbLXUumSO8LQ,0FgNSsaSZTvbLXUumSO8LQ,0.00131,0.141,Star Treatment,15,1229,354.64,0.0527,1420,4,1,2018-05-11,Tranquility Base Hotel & Casino,Star Treatment,0.243,0.581,0.767,-5.026,7,0,120.07,0.673,2018,05,11,6
1,66,268,0.021408486707566465,https://api.spotify.com/v1/tracks/2AKwcNHeGAqCpD6etK425X,2AKwcNHeGAqCpD6etK425X,2AKwcNHeGAqCpD6etK425X,0.00444,0.144,One Point Perspective,7,743,208.64,0.0419,536,4,2,2018-05-11,Tranquility Base Hotel & Casino,One Point Perspective,0.057,0.714,0.585,-4.57,8,1,77.104,0.842,2018,05,11,6
2,152,455,0.04798363283556906,https://api.spotify.com/v1/tracks/0mQiDbYxHElUp1eNpLZXaY,0mQiDbYxHElUp1eNpLZXaY,0mQiDbYxHElUp1eNpLZXaY,0.00293,0.127,American Sports,8,576,158.04,0.0513,910,3,3,2018-05-11,Tranquility Base Hotel & Casino,American Sports,0.00169,0.372,0.865,-4.288,7,0,176.689,0.594,2018,05,11,6
3,124,501,0.03936952186069319,https://api.spotify.com/v1/tracks/7co8zvT6HJuyT81IDukyID,7co8zvT6HJuyT81IDukyID,7co8zvT6HJuyT81IDukyID,0.0147,0.199,Tranquility Base Hotel & Casino,10,771,212.093,0.0297,1002,4,4,2018-05-11,Tranquility Base Hotel & Casino,Tranquility Base Hotel & Casino,0.0411,0.584,0.835,-4.326,9,0,142.2,0.781,2018,05,11,6
4,67,265,0.025437818452689498,https://api.spotify.com/v1/tracks/3NmndGYOIYocA5OTHMVoaw,3NmndGYOIYocA5OTHMVoaw,3NmndGYOIYocA5OTHMVoaw,1.73e-05,0.131,Golden Trunks,7,450,173.626,0.0278,530,4,5,2018-05-11,Tranquility Base Hotel & Casino,Golden Trunks,0.129,0.492,0.564,-5.811,2,1,92.544,0.0896,2018,05,11,6
5,168,668,0.03564423214426736,https://api.spotify.com/v1/tracks/3nhzPKCm2yqGmgEhdAg19u,3nhzPKCm2yqGmgEhdAg19u,3nhzPKCm2yqGmgEhdAg19u,0.0,0.0717,Four Out Of Five,13,1028,312.346,0.0685,1336,4,6,2018-05-11,Tranquility Base Hotel & Casino,Four Out Of Five,0.0626,0.601,0.863,-4.31,0,1,130.189,0.676,2018,05,11,6
6,108,432,0.03999711131973802,https://api.spotify.com/v1/tracks/1JdArJ9NKCF9TQASGQgszg,1JdArJ9NKCF9TQASGQgszg,1JdArJ9NKCF9TQASGQgszg,0.349,0.0735,The World's First Ever Monster Truck Front Flip,9,548,180.013,0.0303,864,4,7,2018-05-11,Tranquility Base Hotel & Casino,The World's First Ever Monster Truck Front Flip,0.346,0.602,0.601,-5.742,10,1,145.075,0.553,2018,05,11,6
7,67,271,0.024295432458697763,https://api.spotify.com/v1/tracks/57oJKJys4oC7NTR7hwZkPU,57oJKJys4oC7NTR7hwZkPU,57oJKJys4oC7NTR7hwZkPU,0.0802,0.396,Science Fiction,9,653,185.906,0.0282,542,4,8,2018-05-11,Tranquility Base Hotel & Casino,Science Fiction,0.0295,0.542,0.766,-5.411,7,1,88.062,0.643,2018,05,11,6
8,75,311,0.0283924919661116,https://api.spotify.com/v1/tracks/4z6mZWFgBZd07926K61Mi8,4z6mZWFgBZd07926K61Mi8,4z6mZWFgBZd07926K61Mi8,0.00326,0.387,She Looks Like Fun,9,559,182.56,0.0388,622,4,9,2018-05-11,Tranquility Base Hotel & Casino,She Looks Like Fun,0.00944,0.514,0.773,-3.754,0,1,103.943,0.445,2018,05,11,6
9,118,473,0.02902413851079784,https://api.spotify.com/v1/tracks/7seSDB6TiLZarbicyDIjiQ,7seSDB6TiLZarbicyDIjiQ,7seSDB6TiLZarbicyDIjiQ,0.0,0.304,Batphone,13,859,271.613,0.0356,946,4,10,2018-05-11,Tranquility Base Hotel & Casino,Batphone,0.312,0.675,0.681,-5.728,5,0,106.521,0.675,2018,05,11,6
10,157,468,0.035825831343009366,https://api.spotify.com/v1/tracks/4VysGAsuHWHDxasPnTgwbo,4VysGAsuHWHDxasPnTgwbo,4VysGAsuHWHDxasPnTgwbo,3.98e-05,0.126,The Ultracheese,11,626,217.72,0.0404,936,3,11,2018-05-11,Tranquility Base Hotel & Casino,The Ultracheese,0.624,0.476,0.555,-6.551,9,1,131.497,0.426,2018,05,11,6
11,95,381,0.023311820377835045,https://api.spotify.com/v1/tracks/5FVd6KXrgO9B3JPmC8OPst,5FVd6KXrgO9B3JPmC8OPst,5FVd6KXrgO9B3JPmC8OPst,0.000263,0.217,Do I Wanna Know?,14,823,272.394,0.0323,762,4,1,2013-09-09,AM,Do I Wanna Know?,0.186,0.548,0.532,-7.596,5,1,85.03,0.405,2013,09,09,5
12,71,284,0.023464170872040953,https://api.spotify.com/v1/tracks/2AT8iROs4FQueDv2c8q2KE,2AT8iROs4FQueDv2c8q2KE,2AT8iROs4FQueDv2c8q2KE,0.0,0.303,R U Mine?,7,653,201.726,0.0371,568,4,2,2013-09-09,AM,R U Mine?,0.00616,0.288,0.758,-5.692,6,0,97.094,0.619,2013,09,09,5
13,156,614,0.049664079928431956,https://api.spotify.com/v1/tracks/6wNUBZNWFxdUGof6vkaykE,6wNUBZNWFxdUGof6vkaykE,6wNUBZNWFxdUGof6vkaykE,0.0615,0.27,One For The Road,9,731,206.051,0.036,1228,4,3,2013-09-09,AM,One For The Road,0.212,0.415,0.668,-6.849,0,1,180.048,0.842,2013,09,09,5
14,153,613,0.04927114077560653,https://api.spotify.com/v1/tracks/7nzsY8vlnKdvGOEE0rjAXZ,7nzsY8vlnKdvGOEE0rjAXZ,7nzsY8vlnKdvGOEE0rjAXZ,1.26e-06,0.212,Arabella,10,671,207.356,0.0895,1226,4,4,2013-09-09,AM,Arabella,0.0202,0.579,0.558,-6.986,2,1,179.949,0.506,2013,09,09,5
15,100,400,0.03595712472447853,https://api.spotify.com/v1/tracks/1j9rezdE3YeC7yktZXC1em,1j9rezdE3YeC7yktZXC1em,1j9rezdE3YeC7yktZXC1em,0.0748,0.0625,I Want It All,8,542,185.406,0.0347,800,4,5,2013-09-09,AM,I Want It All,0.000637,0.499,0.81,-5.579,5,1,131.052,0.288,2013,09,09,5
16,115,459,0.031464519127548524,https://api.spotify.com/v1/tracks/5TTGoX70AFrTvuEtqHK37S,5TTGoX70AFrTvuEtqHK37S,5TTGoX70AFrTvuEtqHK37S,0.0887,0.0966,No. 1 Party Anthem,10,753,243.131,0.0297,918,4,6,2013-09-09,AM,No. 1 Party Anthem,0.33,0.505,0.698,-5.563,0,1,115.013,0.599,2013,09,09,5
