,album_group,album_type,artists,available_markets,external_urls,href,id,images,name,release_date,release_date_precision,type,uri
0,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2'}, 'href': 'https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2', 'id': '3WrFJ7ztbogyGnTHbHJFl2', 'name': 'The Beatles', 'type': 'artist', 'uri': 'spotify:artist:3WrFJ7ztbogyGnTHbHJFl2'}]","['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/0n9SWDBEftKwq09B01Pwzw'},https://api.spotify.com/v1/albums/0n9SWDBEftKwq09B01Pwzw,0n9SWDBEftKwq09B01Pwzw,"[{'height': 640, 'url': 'https://i.scdn.co/image/94c04cbf2ea221d53c4ca2c93c8228c39945a180', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/702e569b7ae20e95c2ae9e7a0ee9cd3c941a1ac5', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/aec363797720043c00c583fcf3c663493af3675e', 'width': 64}]",Live At The Hollywood Bowl,2016-09-09,day,album,spotify:album:0n9SWDBEftKwq09B01Pwzw
1,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2'}, 'href': 'https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2', 'id': '3WrFJ7ztbogyGnTHbHJFl2', 'name': 'The Beatles', 'type': 'artist', 'uri': 'spotify:artist:3WrFJ7ztbogyGnTHbHJFl2'}]","['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/7vEJAtP3KgKSpOHVgwm3Eh'},https://api.spotify.com/v1/albums/7vEJAtP3KgKSpOHVgwm3Eh,7vEJAtP3KgKSpOHVgwm3Eh,"[{'height': 640, 'url': 'https://i.scdn.co/image/9ecfdf528562cae879748b73bd81b64dfa3d5704', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/58d9e881327df093da91b082ed89a4e2c4fec1a9', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/adda7302aab91f1a83cdca24878bad49384dae65', 'width': 64}]",1 (Remastered),2000-11-13,day,album,spotify:album:7vEJAtP3KgKSpOHVgwm3Eh
2,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2'}, 'href': 'https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2', 'id': '3WrFJ7ztbogyGnTHbHJFl2', 'name': 'The Beatles', 'type': 'artist', 'uri': 'spotify:artist:3WrFJ7ztbogyGnTHbHJFl2'}]","['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/0jTGHV5xqHPvEcwL8f6YU5'},https://api.spotify.com/v1/albums/0jTGHV5xqHPvEcwL8f6YU5,0jTGHV5xqHPvEcwL8f6YU5,"[{'height': 640, 'url': 'https://i.scdn.co/image/b3651a85f2bca826b38194c51d09cd7b068aa3ab', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/a329e45d52649d9ef327764a202df6084aff20ce', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/8cae03783213449b24f247244a3b2049e98ee6e1', 'width': 64}]",Let It Be (Remastered),1970-05-08,day,album,spotify:album:0jTGHV5xqHPvEcwL8f6YU5
3,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2'}, 'href': 'https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2', 'id': '3WrFJ7ztbogyGnTHbHJFl2', 'name': 'The Beatles', 'type': 'artist', 'uri': 'spotify:artist:3WrFJ7ztbogyGnTHbHJFl2'}]","['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/0ETFjACtuP2ADo6LFhL6HN'},https://api.spotify.com/v1/albums/0ETFjACtuP2ADo6LFhL6HN,0ETFjACtuP2ADo6LFhL6HN,"[{'height': 640, 'url': 'https://i.scdn.co/image/c429243cd056974175abe72a3142d3dccffc166a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/31327f9fe6b6e0bd6e431a4add681397e95c6329', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/15fed5371098fbf631193332164fba1d0e08c878', 'width': 64}]",Abbey Road (Remastered),1969-09-26,day,album,spotify:album:0ETFjACtuP2ADo6LFhL6HN
4,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2'}, 'href': 'https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2', 'id': '3WrFJ7ztbogyGnTHbHJFl2', 'name': 'The Beatles', 'type': 'artist', 'uri': 'spotify:artist:3WrFJ7ztbogyGnTHbHJFl2'}]","['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/1gKZ5A1ndFqbcrWtW85cCy'},https://api.spotify.com/v1/albums/1gKZ5A1ndFqbcrWtW85cCy,1gKZ5A1ndFqbcrWtW85cCy,"[{'height': 640, 'url': 'https://i.scdn.co/image/b524e45ee12bc0562cd36169a895b9ec59fa702f', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/dba3850d7bae42990d211a15221decc09736f4fe', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/72bc77482b4e760c7e2adcefdc44d52be16dc961', 'width': 64}]",Yellow Submarine (Remastered),1969-01-17,day,album,spotify:album:1gKZ5A1ndFqbcrWtW85cCy
5,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2'}, 'href': 'https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2', 'id': '3WrFJ7ztbogyGnTHbHJFl2', 'name': 'The Beatles', 'type': 'artist', 'uri': 'spotify:artist:3WrFJ7ztbogyGnTHbHJFl2'}]","['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/1klALx0u4AavZNEvC4LrTL'},https://api.spotify.com/v1/albums/1klALx0u4AavZNEvC4LrTL,1klALx0u4AavZNEvC4LrTL,"[{'height': 640, 'url': 'https://i.scdn.co/image/2782d94528b449fb6910300cc8c8f93ab8cc7a8d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/b6fe2afbd9fc1719d08765e693c9d91e5cafb38e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/395d7bdb8713327f6ddce44740caee2b4739ff5f', 'width': 64}]",The Beatles (Remastered),1968-11-22,day,album,spotify:album:1klALx0u4AavZNEvC4LrTL
6,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2'}, 'href': 'https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2', 'id': '3WrFJ7ztbogyGnTHbHJFl2', 'name': 'The Beatles', 'type': 'artist', 'uri': 'spotify:artist:3WrFJ7ztbogyGnTHbHJFl2'}]","['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/2BtE7qm1qzM80p9vLSiXkj'},https://api.spotify.com/v1/albums/2BtE7qm1qzM80p9vLSiXkj,2BtE7qm1qzM80p9vLSiXkj,"[{'height': 640, 'url': 'https://i.scdn.co/image/5efcba83e06ce03ca843b459a4189f861ddc5f23', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/44a8e349f4d580ce4ea15ff8b60a37b2c7595c4b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/da34ae526d3f542db4bb17846628d8ade8923d8e', 'width': 64}]",Magical Mystery Tour (Remastered),1967-11-27,day,album,spotify:album:2BtE7qm1qzM80p9vLSiXkj
7,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2'}, 'href': 'https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2', 'id': '3WrFJ7ztbogyGnTHbHJFl2', 'name': 'The Beatles', 'type': 'artist', 'uri': 'spotify:artist:3WrFJ7ztbogyGnTHbHJFl2'}]","['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/6b7ycwe2rxq6FkaupNuGoS'},https://api.spotify.com/v1/albums/6b7ycwe2rxq6FkaupNuGoS,6b7ycwe2rxq6FkaupNuGoS,"[{'height': 640, 'url': 'https://i.scdn.co/image/d4d4cfccb0b56c3ebaf5c48352dd6c29fabce1b4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/a539e3a8c7b28af5255a623975cd96cbc958071d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ecfebab84a6b2e921b8a1446bad64721d3844d61', 'width': 64}]",Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),1967-06-01,day,album,spotify:album:6b7ycwe2rxq6FkaupNuGoS
8,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2'}, 'href': 'https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2', 'id': '3WrFJ7ztbogyGnTHbHJFl2', 'name': 'The Beatles', 'type': 'artist', 'uri': 'spotify:artist:3WrFJ7ztbogyGnTHbHJFl2'}]","['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/6QaVfG1pHYl1z15ZxkvVDW'},https://api.spotify.com/v1/albums/6QaVfG1pHYl1z15ZxkvVDW,6QaVfG1pHYl1z15ZxkvVDW,"[{'height': 640, 'url': 'https://i.scdn.co/image/ec881187fe0432c8f6d208b9b4833bd411471345', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/b0da4d3af09485434503aec6c83817df0c38f6ef', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/43cda56eb48cf779eff73892fa0a6699a4bb1d3b', 'width': 64}]",Sgt. Pepper's Lonely Hearts Club Band (Remastered),1967-06-01,day,album,spotify:album:6QaVfG1pHYl1z15ZxkvVDW
9,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2'}, 'href': 'https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2', 'id': '3WrFJ7ztbogyGnTHbHJFl2', 'name': 'The Beatles', 'type': 'artist', 'uri': 'spotify:artist:3WrFJ7ztbogyGnTHbHJFl2'}]","['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/3PRoXYsngSwjEQWR5PsHWR'},https://api.spotify.com/v1/albums/3PRoXYsngSwjEQWR5PsHWR,3PRoXYsngSwjEQWR5PsHWR,"[{'height': 640, 'url': 'https://i.scdn.co/image/75ef0990aa0bb02ef7f6a52d41cc2c4c8028c3ba', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/94f80ce1463e6cd9f0a8b563cdfd77348d140a2b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/e7d73d44dbad68d6bfd4823448c09ff371ca1ce7', 'width': 64}]",Revolver (Remastered),1966-08-05,day,album,spotify:album:3PRoXYsngSwjEQWR5PsHWR
