,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,7.38e-05,https://api.spotify.com/v1/audio-analysis/6CV4BNCI8xjHeYDR8eEriP,0.284,93507,0.822,6CV4BNCI8xjHeYDR8eEriP,1.03e-06,2,0.496,-8.593,1,0.0448,126.46,4,https://api.spotify.com/v1/tracks/6CV4BNCI8xjHeYDR8eEriP,audio_features,spotify:track:6CV4BNCI8xjHeYDR8eEriP,0.609
1,0.00769,https://api.spotify.com/v1/audio-analysis/6lynokJ0Ilm55qB4FdVeG7,0.194,192053,0.884,6lynokJ0Ilm55qB4FdVeG7,1.7e-05,9,0.845,-8.205,1,0.0632,175.62,4,https://api.spotify.com/v1/tracks/6lynokJ0Ilm55qB4FdVeG7,audio_features,spotify:track:6lynokJ0Ilm55qB4FdVeG7,0.593
2,0.0149,https://api.spotify.com/v1/audio-analysis/510F0QzxgNnfAVcCrYG2cv,0.422,219733,0.876,510F0QzxgNnfAVcCrYG2cv,5.97e-05,11,0.528,-6.81,0,0.0474,129.718,4,https://api.spotify.com/v1/tracks/510F0QzxgNnfAVcCrYG2cv,audio_features,spotify:track:510F0QzxgNnfAVcCrYG2cv,0.716
3,0.00313,https://api.spotify.com/v1/audio-analysis/2FP07Rr3ZwFmJZXsaj7hjE,0.398,146240,0.776,2FP07Rr3ZwFmJZXsaj7hjE,0.0,9,0.428,-7.998,1,0.0391,121.012,4,https://api.spotify.com/v1/tracks/2FP07Rr3ZwFmJZXsaj7hjE,audio_features,spotify:track:2FP07Rr3ZwFmJZXsaj7hjE,0.347
4,0.00701,https://api.spotify.com/v1/audio-analysis/0WYxVnp9K6RETCRZbtlGHh,0.208,134867,0.849,0WYxVnp9K6RETCRZbtlGHh,0.0,5,0.896,-7.594,1,0.0596,174.728,4,https://api.spotify.com/v1/tracks/0WYxVnp9K6RETCRZbtlGHh,audio_features,spotify:track:0WYxVnp9K6RETCRZbtlGHh,0.61
5,0.0594,https://api.spotify.com/v1/audio-analysis/4hlVL09xDgvkoVSIu2zQwD,0.285,138733,0.622,4hlVL09xDgvkoVSIu2zQwD,0.0,5,0.639,-8.355,1,0.0425,71.79,4,https://api.spotify.com/v1/tracks/4hlVL09xDgvkoVSIu2zQwD,audio_features,spotify:track:4hlVL09xDgvkoVSIu2zQwD,0.398
6,0.00238,https://api.spotify.com/v1/audio-analysis/3QiwPPktTczwleIy9jUMpS,0.202,134013,0.816,3QiwPPktTczwleIy9jUMpS,0.0,2,0.567,-7.951,1,0.0408,179.604,3,https://api.spotify.com/v1/tracks/3QiwPPktTczwleIy9jUMpS,audio_features,spotify:track:3QiwPPktTczwleIy9jUMpS,0.681
7,0.03,https://api.spotify.com/v1/audio-analysis/1dxwZJNoDbXn7zfKR2g1S5,0.359,128747,0.941,1dxwZJNoDbXn7zfKR2g1S5,0.000336,9,0.848,-6.125,1,0.114,106.841,3,https://api.spotify.com/v1/tracks/1dxwZJNoDbXn7zfKR2g1S5,audio_features,spotify:track:1dxwZJNoDbXn7zfKR2g1S5,0.626
8,0.0436,https://api.spotify.com/v1/audio-analysis/0P0Jm9mZi11ETImhECDhpq,0.271,193760,0.876,0P0Jm9mZi11ETImhECDhpq,5.98e-06,0,0.921,-7.327,1,0.0547,134.309,4,https://api.spotify.com/v1/tracks/0P0Jm9mZi11ETImhECDhpq,audio_features,spotify:track:0P0Jm9mZi11ETImhECDhpq,0.625
9,0.024,https://api.spotify.com/v1/audio-analysis/55jAHaYaZtUImilMnroSna,0.425,172600,0.776,55jAHaYaZtUImilMnroSna,0.0,11,0.821,-7.148,0,0.0476,95.657,4,https://api.spotify.com/v1/tracks/55jAHaYaZtUImilMnroSna,audio_features,spotify:track:55jAHaYaZtUImilMnroSna,0.482
10,0.0255,https://api.spotify.com/v1/audio-analysis/7j021TxcicWprdXpCcMBeH,0.214,135253,0.667,7j021TxcicWprdXpCcMBeH,0.0,1,0.914,-8.017,0,0.0358,169.29,5,https://api.spotify.com/v1/tracks/7j021TxcicWprdXpCcMBeH,audio_features,spotify:track:7j021TxcicWprdXpCcMBeH,0.691
11,0.183,https://api.spotify.com/v1/audio-analysis/0GUp9QOezipeh6BOV1kguV,0.217,191000,0.871,0GUp9QOezipeh6BOV1kguV,0.0,7,0.654,-8.422,1,0.126,74.486,4,https://api.spotify.com/v1/tracks/0GUp9QOezipeh6BOV1kguV,audio_features,spotify:track:0GUp9QOezipeh6BOV1kguV,0.543
12,0.0373,https://api.spotify.com/v1/audio-analysis/3gluwLob4WQKYDPDKi09Ql,0.377,124653,0.915,3gluwLob4WQKYDPDKi09Ql,0.0,9,0.681,-5.945,0,0.0517,90.833,4,https://api.spotify.com/v1/tracks/3gluwLob4WQKYDPDKi09Ql,audio_features,spotify:track:3gluwLob4WQKYDPDKi09Ql,0.652
13,0.00231,https://api.spotify.com/v1/audio-analysis/4Dw9HFzXqmdJRM8vfc1FId,0.313,154427,0.723,4Dw9HFzXqmdJRM8vfc1FId,0.0,0,0.817,-8.342,1,0.0381,67.295,4,https://api.spotify.com/v1/tracks/4Dw9HFzXqmdJRM8vfc1FId,audio_features,spotify:track:4Dw9HFzXqmdJRM8vfc1FId,0.65
